feature_set,target,model,subject_id,mae_min,r2
EMG,lt2,"GBM(n=100,d=2)",S006,3.486,-0.353
EMG,lt2,"GBM(n=100,d=2)",S007,1.784,-0.043
EMG,lt2,"GBM(n=100,d=2)",S008,1.5643,0.718
EMG,lt2,"GBM(n=100,d=2)",S009,5.9318,0.303
EMG,lt2,"GBM(n=100,d=2)",S010,3.5926,0.674
EMG,lt2,"GBM(n=100,d=2)",S011,4.2659,-0.066
EMG,lt2,"GBM(n=100,d=2)",S012,2.4185,0.448
EMG,lt2,"GBM(n=100,d=2)",S013,4.2879,0.411
EMG,lt2,"GBM(n=100,d=2)",S014,4.17,0.18
EMG,lt2,"GBM(n=100,d=2)",S016,2.8954,0.41
EMG,lt2,"GBM(n=100,d=2)",S017,3.0702,0.441
EMG,lt2,"GBM(n=100,d=2)",S018,1.8846,-0.347
EMG,lt2,"GBM(n=100,d=2)",S019,6.134,0.252
EMG,lt2,"GBM(n=100,d=3)",S001,3.6599,0.508
EMG,lt2,"GBM(n=100,d=3)",S002,3.203,0.06
EMG,lt2,"GBM(n=100,d=3)",S003,5.0768,0.363
EMG,lt2,"GBM(n=100,d=3)",S004,2.7243,0.323
EMG,lt2,"GBM(n=100,d=3)",S005,7.709,-1.0
EMG,lt2,"GBM(n=100,d=3)",S006,3.0951,-0.206
EMG,lt2,"GBM(n=100,d=3)",S007,2.7444,-0.85
EMG,lt2,"GBM(n=100,d=3)",S008,2.0497,0.578
EMG,lt2,"GBM(n=100,d=3)",S009,6.3726,0.204
EMG,lt2,"GBM(n=100,d=3)",S010,3.6196,0.668
EMG,lt2,"GBM(n=100,d=3)",S011,4.4889,-0.218
EMG,lt2,"GBM(n=100,d=3)",S012,2.7479,0.3
EMG,lt2,"GBM(n=100,d=3)",S013,4.4063,0.412
EMG,lt2,"GBM(n=100,d=3)",S014,3.7626,0.301
EMG,lt2,"GBM(n=100,d=3)",S016,2.0645,0.674
EMG,lt2,"GBM(n=100,d=3)",S017,2.8138,0.507
EMG,lt2,"GBM(n=100,d=3)",S018,1.7145,-0.16
EMG,lt2,"GBM(n=100,d=3)",S019,5.7499,0.321
EMG,lt2,"GBM(n=200,d=2)",S001,4.2901,0.356
EMG,lt2,"GBM(n=200,d=2)",S002,3.2462,0.017
EMG,lt2,"GBM(n=200,d=2)",S003,4.3167,0.531
EMG,lt2,"GBM(n=200,d=2)",S004,3.0414,0.229
EMG,lt2,"GBM(n=200,d=2)",S005,8.2349,-1.245
EMG,lt2,"GBM(n=200,d=2)",S006,3.1378,-0.224
EMG,lt2,"GBM(n=200,d=2)",S007,2.2151,-0.535
EMG,lt2,"GBM(n=200,d=2)",S008,1.7112,0.648
EMG,lt2,"GBM(n=200,d=2)",S009,6.0099,0.26
EMG,lt2,"GBM(n=200,d=2)",S010,3.5098,0.683
EMG,lt2,"GBM(n=200,d=2)",S011,4.612,-0.239
EMG,lt2,"GBM(n=200,d=2)",S012,2.3719,0.381
EMG,lt2,"GBM(n=200,d=2)",S013,4.374,0.393
EMG,lt2,"GBM(n=200,d=2)",S014,4.6245,0.012
EMG,lt2,"GBM(n=200,d=2)",S016,3.1285,0.305
EMG,lt2,"GBM(n=200,d=2)",S017,3.042,0.437
EMG,lt2,"GBM(n=200,d=2)",S018,1.6892,-0.144
EMG,lt2,"GBM(n=200,d=2)",S019,6.1271,0.267
EMG,lt2,"GBM(n=200,d=3)",S001,3.489,0.549
EMG,lt2,"GBM(n=200,d=3)",S002,3.6773,-0.271
EMG,lt2,"GBM(n=200,d=3)",S003,4.8059,0.425
EMG,lt2,"GBM(n=200,d=3)",S004,2.8029,0.294
