model_id,architecture_id,family,target,feature_set,with_abs,phase_split,subject_id,feature_name,modality,mean_abs_shap,mean_shap,mean_feature_value,mean_prediction,mean_base_value,n_windows,abs_shap_share,feature_rank_within_subject
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_p_high,EMG,2.8704194178194196,0.2912899280810988,0.6040835565758447,-91.21319408114537,-112.90785646783958,242,0.0009584250277484936,52
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_ratio_mid_high,EMG,10.72721071712727,-1.553462748290911,0.5411487484637745,-91.21319408114537,-112.90785646783958,242,0.0035817857019086827,38
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_e_d2,EMG,19.729765011920584,-6.364124210790504,35.41080792581404,-91.21319408114537,-112.90785646783958,242,0.006587713440632408,28
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_e_d3,EMG,32.577599645778164,16.84815856572993,39.62813834040879,-91.21319408114537,-112.90785646783958,242,0.010877569546336077,22
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_e_d4,EMG,103.03064040894952,52.81207223312378,43.80841621731261,-91.21319408114537,-112.90785646783958,242,0.03440164311176102,8
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_e_d5,EMG,90.75100705568265,-53.53787152135064,46.98961265293973,-91.21319408114537,-112.90785646783958,242,0.030301507826901917,11
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_wavelet_entropy,EMG,19.215312429037667,14.239541372061785,0.9046553640989583,-91.21319408114537,-112.90785646783958,242,0.006415939159855207,29
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_dist_full_window_ratio_low_high,EMG,6.531366952446986,-6.348510010642143,-1.7083654627015785,-91.21319408114537,-112.90785646783958,242,0.002180805186090198,46
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_rms,EMG,96.01433304125968,58.264498155947344,21.84434431841622,-91.21319408114537,-112.90785646783958,242,0.03205891767525369,10
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_mav,EMG,217.79816128797063,150.9269199768623,25.855338107220653,-91.21319408114537,-112.90785646783958,242,0.07272219783636036,4
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_wl,EMG,366.2778380228788,-208.2173815637344,21.812205086766284,-91.21319408114537,-112.90785646783958,242,0.12229914725751787,1
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_zcr,EMG,17.916082079254625,12.031889119447687,-5.7348907055377865,-91.21319408114537,-112.90785646783958,242,0.0059821297742608005,32
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_mdf,EMG,18.692013294027166,17.662181952233798,-2.4542609645475246,-91.21319408114537,-112.90785646783958,242,0.006241211040027265,31
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_mnf,EMG,9.41388758188366,-9.319996029245775,-3.7969195912105644,-91.21319408114537,-112.90785646783958,242,0.003143270774604152,40
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_p_low,EMG,86.36000791837102,83.60367256077299,3.218644102416948,-91.21319408114537,-112.90785646783958,242,0.028835365477147833,14
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_p_mid,EMG,71.1070766080863,-67.91548218485934,-2.174322316475672,-91.21319408114537,-112.90785646783958,242,0.023742454307597916,16
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_p_high,EMG,35.68278328948865,35.03806916017996,-2.4222372179221194,-91.21319408114537,-112.90785646783958,242,0.011914381693512896,21
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_ratio_mid_high,EMG,12.273968223098848,-4.315984988407369,1.8662363123533077,-91.21319408114537,-112.90785646783958,242,0.004098243713716301,37
Lin2_cf259fa7,Lin2,Lin,lt1,EMG+NIRS+HRV,False,full_window,S001,z_vl_prox_full_window_e_d2,EMG,112.45104914074938,46.07527286275558,23.793869872467024,-91.21319408114537,-112.90785646783958,242,0.03754709128011139,7
